date,price
2010-04-28,262.77
2010-04-29,253.02
2010-04-30,261.00
2010-05-04,270.00
2010-05-05,270.00
2010-05-06,270.00
2010-05-07,270.00
2010-05-10,270.00
2010-05-11,270.00
2010-05-12,270.00
2010-05-13,270.00
2010-05-14,270.00
2010-05-17,270.00
2010-05-18,266.65
2010-05-19,264.00
2010-05-20,259.88
2010-05-21,258.08
2010-05-24,260.38
2010-05-25,260.60
2010-05-26,264.98
2010-05-27,266.02
2010-05-28,266.13
2010-05-31,267.00
2010-06-01,265.00
2010-06-02,265.57
2010-06-03,265.57
2010-06-04,265.00
2010-06-07,266.00
2010-06-08,266.00
2010-06-09,270.00
2010-06-10,266.00
2010-06-11,264.00
2010-06-17,245.53
2010-06-18,272.00
2010-06-21,278.18
2010-06-22,271.50
2010-06-23,272.28
2010-06-24,270.00
2010-06-25,272.98
2010-06-28,276.00
2010-06-29,270.11
2010-06-30,271.50
2010-07-01,271.50
2010-07-02,271.50
2010-07-05,271.50
2010-07-06,271.50
2010-07-07,271.50
2010-07-08,271.50
2010-07-09,271.50
2010-07-12,271.50
2010-07-13,271.50
2010-07-14,271.50
2010-07-15,271.50
2010-07-16,264.50
2010-07-19,259.60
2010-07-20,259.95
2010-07-21,259.95
2010-07-22,263.75
2010-07-23,256.11
2010-07-26,259.00
2010-07-27,259.00
2010-07-28,256.00
2010-07-29,262.98
2010-07-30,256.00
2010-08-02,259.00
2010-08-03,259.00
2010-08-04,259.00
2010-08-05,259.00
2010-08-06,259.00
2010-08-09,259.00
2010-08-10,259.00
2010-08-11,259.00
2010-08-12,259.00
2010-08-13,259.00
2010-08-16,259.00
2010-08-17,267.01
2010-08-18,266.50
2010-08-19,266.52
2010-08-20,267.00
2010-08-23,268.00
2010-08-24,265.00
2010-08-25,265.00
2010-08-26,264.00
2010-08-27,268.00
2010-08-30,268.00
2010-08-31,267.05
2010-09-01,271.64
2010-09-02,271.64
2010-09-03,273.64
2010-09-06,273.64
2010-09-07,273.64
2010-09-08,274.70
2010-09-09,274.70
2010-09-10,274.70
2010-09-13,274.70
2010-09-14,274.70
2010-09-15,274.70
2010-09-16,273.50
2010-09-17,273.50
2010-09-20,275.00
2010-09-21,273.83
2010-09-27,282.81
2010-09-28,279.60
2010-09-29,283.00
2010-09-30,290.00
2010-10-08,288.00
2010-10-11,288.00
2010-10-12,288.00
2010-10-13,288.00
2010-10-14,288.00
2010-10-15,288.00
2010-10-18,294.99
2010-10-19,293.50
2010-10-20,288.00
2010-10-21,282.22
2010-10-22,291.27
2010-10-25,285.20
2010-10-26,285.20
2010-10-27,285.20
2010-10-28,285.20
2010-10-29,285.20
2010-11-01,285.20
2010-11-02,285.20
2010-11-03,285.20
2010-11-04,285.20
2010-11-05,285.20
2010-11-08,285.20
2010-11-09,285.20
2010-11-10,285.20
2010-11-11,285.20
2010-11-12,285.20
2010-11-15,285.20
2010-11-16,291.73
2010-11-17,286.10
2010-11-18,290.00
2010-11-19,291.24
2010-11-22,293.70
2010-11-23,291.95
2010-11-24,294.90
2010-11-25,293.99
2010-11-26,292.00
2010-11-29,292.35
2010-11-30,292.50
2010-12-01,298.75
2010-12-02,298.75
2010-12-03,296.50
2010-12-06,299.00
2010-12-07,295.00
2010-12-08,295.00
2010-12-09,295.00
2010-12-10,295.00
2010-12-13,295.00
2010-12-14,298.00
2010-12-15,297.50
2010-12-16,298.30
2010-12-17,298.30
2010-12-20,298.30
2010-12-21,301.00
2010-12-22,301.00
2010-12-23,288.88
2010-12-24,299.90
2010-12-27,286.67
2010-12-28,286.67
2010-12-29,286.67
2010-12-30,303.00
2010-12-31,297.00
2011-01-04,297.00
2011-01-05,296.00
2011-01-06,296.00
2011-01-07,296.00
2011-01-10,296.00
2011-01-11,296.00
2011-01-12,296.00
2011-01-13,296.00
2011-01-14,296.00
2011-01-17,296.00
2011-01-18,297.75
2011-01-19,297.70
2011-01-20,294.71
2011-01-21,290.00
2011-01-24,291.65
2011-01-25,291.32
2011-01-26,291.50
2011-01-27,293.00
2011-01-28,284.80
2011-01-31,285.00
2011-02-01,289.10
2011-02-09,294.50
2011-02-10,294.40
2011-02-11,294.00
2011-02-14,294.00
2011-02-15,294.00
2011-02-16,279.00
2011-02-17,287.42
2011-02-18,287.42
2011-02-21,287.42
2011-02-22,287.42
2011-02-23,285.01
2011-02-24,301.00
2011-02-25,296.99
2011-02-28,279.00
2011-03-01,296.00
2011-03-02,300.00
2011-03-03,300.00
2011-03-04,300.00
2011-03-07,300.00
2011-03-08,300.00
2011-03-09,300.90
2011-03-10,302.00
2011-03-11,302.00
2011-03-14,302.00
2011-03-15,302.00
2011-03-16,301.00
2011-03-17,301.00
2011-03-18,290.01
2011-03-21,290.00
2011-03-22,294.01
2011-03-23,294.01
2011-03-24,305.49
2011-03-25,303.50
2011-03-28,304.50
2011-03-29,301.00
2011-03-30,294.00
2011-03-31,299.00
